title,genre,theme,budget,revenue
Celestial Romance,Romance,Destiny,38,185
The Love Manuscript,Romance,Love,24,112
Hibiscus Dreams,Romance,Love,18,82
The Romantic Heist,Romance,Escape,44,215
Clover Field Hearts,Romance,Love,16,75
The Love Spectrum,Romance,Identity,32,155
Marigold Summer,Romance,Freedom,22,100
The Heartbreak Remedy,Romance,Redemption,40,195
Love on the Rails,Romance,Adventure,26,122
The Promise Bracelet,Romance,Love,36,175
Lilac Spring,Romance,Love,20,92
The Love Architect Two,Romance,Identity,34,162
Seaside Serenade,Romance,Love,45,220
The Confession Letter,Romance,Sacrifice,15,68
Love in the Clouds,Romance,Escape,28,135
The Wedding Crasher Heart,Romance,Love,42,205
Poppy Field Romance,Romance,Love,22,100
The Love Equation Three,Romance,Mystery,30,142
Gardenia Nights,Romance,Love,38,182
The Heartfelt Promise,Romance,Destiny,24,110
Love Beyond Borders,Romance,Adventure,48,230
The Romantic Puzzle,Romance,Mystery,20,90
Camellia Hearts,Romance,Love,32,155
The Love Paradox Two,Romance,Betrayal,35,165
Violet Sunset,Romance,Sacrifice,18,80
The Proposal Garden,Romance,Love,40,195
Love on the Terrace,Romance,Love,26,122
The Sweetheart Code,Romance,Mystery,34,162
Azalea Dreams,Romance,Love,22,105
The Love Constellation,Romance,Destiny,38,185
Tulip Season Romance,Romance,Love,16,74
The Heartbreak Diary,Romance,Betrayal,30,140
Love in the Vineyard,Romance,Adventure,44,215
The Promise Locket,Romance,Love,20,92
Chrysanthemum Hearts,Romance,Family,28,130
The Love Cartographer,Romance,Adventure,36,175
Lotus Pond Romance,Romance,Love,24,112
The Confession Booth,Romance,Sacrifice,32,150
Love at the Lighthouse,Romance,Love,42,200
The Romantic Equation,Romance,Identity,18,82
Sunflower Field Hearts,Romance,Love,40,195
The Love Navigator,Romance,Adventure,30,142
Petunia Dreams,Romance,Love,22,100
The Heartfelt Gesture,Romance,Love,35,168
Love on the Balcony,Romance,Love,26,125
The Romantic Detour,Romance,Adventure,44,210
Zinnia Hearts,Romance,Love,20,92
The Love Expedition,Romance,Adventure,36,175
Forget Me Not Two,Romance,Sacrifice,28,130
The Sweetheart Waltz,Romance,Love,32,155
Begonia Romance,Romance,Love,18,82
The Love Hypothesis,Romance,Identity,40,195
Love on the Pier,Romance,Love,24,112
The Heartfelt Sonata,Romance,Love,38,185
Aster Field Dreams,Romance,Freedom,22,100
The Confession Garden,Romance,Sacrifice,34,162
Love in the Meadow,Romance,Love,16,74
The Romantic Theorem,Romance,Mystery,42,205
Snapdragon Hearts,Romance,Love,26,122
The Love Expedition Two,Romance,Adventure,30,142
Heather Bloom Romance,Romance,Love,20,90
The Promise Pendant,Romance,Destiny,36,175
Love at the Market,Romance,Love,24,110
The Heartbreak Antidote,Romance,Redemption,40,195
Foxglove Dreams,Romance,Love,18,82
The Love Cartographer Two,Romance,Adventure,32,155
Anemone Hearts,Romance,Love,28,130
The Confession Pier,Romance,Sacrifice,22,100
Love Beyond the Sea,Romance,Adventure,48,230
The Romantic Cipher,Romance,Mystery,34,165
Bluebell Hearts,Romance,Love,16,72
The Love Expedition Three,Romance,Adventure,38,185
Daffodil Summer,Romance,Love,20,92
The Heartfelt Duet,Romance,Love,42,200
Love on the Rooftop,Romance,Love,26,125
The Sweetheart Cipher,Romance,Mystery,30,142
Ranunculus Romance,Romance,Love,22,105
The Love Navigator Two,Romance,Adventure,36,170
Freesia Dreams,Romance,Love,18,80
The Promise Diary,Romance,Destiny,40,195
Love at the Bakery,Romance,Love,24,112
The Heartbreak Elixir,Romance,Redemption,34,162
Clematis Hearts,Romance,Love,20,90
The Romantic Compass,Romance,Adventure,44,215
Hyacinth Summer,Romance,Love,16,74
The Love Manuscript Two,Romance,Love,32,155
Love in the Attic,Romance,Mystery,28,130
The Confession Café,Romance,Sacrifice,38,182
Pansy Field Romance,Romance,Love,22,100
The Heartfelt Waltz,Romance,Love,42,205
Love on the Bridge,Romance,Love,26,122
The Sweetheart Riddle,Romance,Mystery,30,140
Crocus Dreams,Romance,Love,18,82
The Love Theorem Two,Romance,Identity,36,175
Yarrow Hearts,Romance,Love,20,92
The Romantic Odyssey Two,Romance,Adventure,40,195
Verbena Romance,Romance,Love,24,110
The Love Expedition Four,Romance,Adventure,34,165
Love at the Cottage,Romance,Love,28,135
The Heartfelt Aria,Romance,Love,38,185
Amaryllis Dreams,Romance,Destiny,22,100
The Confession Terrace,Romance,Sacrifice,32,150
Love Beyond the Stars,Romance,Escape,44,215
The Romantic Paradox,Romance,Betrayal,20,88
Carnation Hearts,Romance,Love,36,175
The Love Blueprint Two,Romance,Identity,26,122
Edelweiss Summer,Romance,Love,18,82
The Promise Voyage,Romance,Adventure,42,200
Love on the Coastline,Romance,Adventure,30,142
The Heartbreak Sonata,Romance,Sacrifice,16,72
Hollyhock Romance,Romance,Love,34,162
The Sweetheart Voyage,Romance,Adventure,40,195
Larkspur Dreams,Romance,Love,22,105
The Love Constellation Two,Romance,Destiny,38,182
Love in the Garden,Romance,Love,24,112
The Confession Vineyard,Romance,Sacrifice,28,130
Delphinium Hearts,Romance,Love,32,155
The Romantic Blueprint,Romance,Identity,36,170
Love at the Harbor,Romance,Adventure,44,215
The Heartfelt Voyage,Romance,Adventure,20,90
Columbine Romance,Romance,Love,26,122
The Love Paradox Three,Romance,Betrayal,30,140
Hellebore Dreams,Romance,Mystery,18,80
The Promise Constellation,Romance,Destiny,42,205
Love on the Terrace Two,Romance,Love,34,162
The Sweetheart Manuscript,Romance,Love,38,185
Snowdrop Hearts,Romance,Love,22,100
The Love Odyssey Two,Romance,Adventure,40,195
Love Beyond the Mountains,Romance,Adventure,48,235
The Confession Balcony,Romance,Sacrifice,16,74
Primula Romance,Romance,Love,28,130
The Romantic Expedition,Romance,Adventure,36,175
Cyclamen Dreams,Romance,Love,24,110
The Heartfelt Compass,Romance,Adventure,32,155
Love at the Vineyard,Romance,Love,42,200
The Love Cipher Two,Romance,Mystery,20,92
Echinacea Hearts,Romance,Love,30,142
The Promise Terrace,Romance,Love,38,182
Love on the Shore,Romance,Adventure,26,125
The Sweetheart Paradox,Romance,Betrayal,34,160
Forsythia Romance,Romance,Love,18,82
The Love Navigator Three,Romance,Adventure,44,215
Gentian Dreams,Romance,Destiny,22,100
The Confession Shore,Romance,Sacrifice,36,170
Love in the Orchard,Romance,Love,28,135
The Romantic Sonata,Romance,Love,40,195
Acacia Hearts,Romance,Love,24,112
The Love Expedition Five,Romance,Adventure,32,155
Love at the Chapel,Romance,Love,38,185
The Heartfelt Riddle,Romance,Mystery,20,90
Mimosa Romance,Romance,Love,34,165
The Sweetheart Compass,Romance,Adventure,42,205
Oleander Dreams,Romance,Betrayal,18,78
The Promise Shore,Romance,Love,30,142
Love Beyond the River,Romance,Adventure,44,215
The Confession Orchard,Romance,Sacrifice,26,122
Protea Hearts,Romance,Love,36,175
The Romantic Waltz,Romance,Love,22,100
Love on the Cliff,Romance,Adventure,40,195
The Love Manuscript Three,Romance,Love,28,130
Salvia Romance,Romance,Love,16,74
The Heartbreak Compass,Romance,Redemption,38,182
Love in the Lighthouse,Romance,Love,32,155
The Sweetheart Theorem,Romance,Identity,34,162
Tansy Dreams,Romance,Love,20,92
The Promise Orchard,Romance,Love,42,200
Love at the Fountain,Romance,Love,24,110
The Confession Cliff,Romance,Sacrifice,30,140
Valerian Hearts,Romance,Mystery,36,175
The Romantic Shore,Romance,Adventure,44,215
Love Beyond the Valley,Romance,Adventure,28,130
The Love Waltz,Romance,Love,38,185
Zinnia Summer,Romance,Love,22,100
The Heartfelt Expedition,Romance,Adventure,32,155
Love on the Promenade,Romance,Love,40,195
The Sweetheart Shore,Romance,Love,26,122
Begonia Dreams,Romance,Love,18,82
The Promise Cliff,Romance,Destiny,34,165
Love at the Gazebo,Romance,Love,42,205
The Confession Fountain,Romance,Sacrifice,20,90
Aster Romance,Romance,Love,30,142
The Romantic Cliff,Romance,Adventure,36,175
Love in the Chateau,Romance,Love,44,215
The Love Shore,Romance,Adventure,24,112
Snapdragon Dreams,Romance,Love,28,130
The Heartbreak Shore,Romance,Redemption,38,182
Love Beyond the Horizon,Romance,Freedom,32,155
The Sweetheart Expedition,Romance,Adventure,40,195
Heather Romance,Romance,Love,22,100
The Promise Fountain,Romance,Love,34,162
Love at the Terrace,Romance,Love,26,125
The Confession Chateau,Romance,Sacrifice,36,170
Foxglove Hearts,Romance,Love,18,80
The Romantic Fountain,Romance,Love,42,200
Love on the Veranda,Romance,Love,30,142
The Love Veranda,Romance,Love,38,185
Anemone Dreams,Romance,Love,24,110
The Heartfelt Shore,Romance,Adventure,32,155
Love at the Pavilion,Romance,Love,44,215
The Sweetheart Fountain,Romance,Love,20,92
The Promise Veranda,Romance,Love,28,130
Love Beyond the Sunset,Romance,Destiny,40,195
The Confession Pavilion,Romance,Sacrifice,22,100
Ranunculus Dreams,Romance,Love,36,175
The Romantic Veranda,Romance,Love,26,122
Love in the Pavilion,Romance,Love,42,205
The Love Pavilion,Romance,Love,18,82
Freesia Hearts,Romance,Love,30,142
The Heartbreak Veranda,Romance,Redemption,38,185
Love on the Esplanade,Romance,Adventure,32,155
The Sweetheart Veranda,Romance,Love,24,112
Clematis Romance,Romance,Love,40,195
The Promise Pavilion,Romance,Destiny,34,165
Love at the Promenade,Romance,Love,44,210
The Confession Veranda,Romance,Sacrifice,20,90
Hyacinth Hearts,Romance,Love,28,130
The Romantic Pavilion,Romance,Love,36,175
Love Beyond the Dawn,Romance,Destiny,42,200
The Love Promenade,Romance,Adventure,22,100
Pansy Romance,Romance,Love,30,142
The Heartfelt Veranda,Romance,Love,38,185
Love in the Conservatory,Romance,Mystery,26,122
The Sweetheart Pavilion,Romance,Love,32,155
Crocus Hearts,Romance,Love,18,80
The Promise Esplanade,Romance,Love,40,195
Love at the Conservatory,Romance,Love,34,162
The Confession Esplanade,Romance,Sacrifice,24,110
Yarrow Romance,Romance,Love,36,175
The Romantic Esplanade,Romance,Adventure,42,205
Love Beyond the Twilight,Romance,Destiny,28,135
The Love Conservatory,Romance,Mystery,30,142
Verbena Hearts,Romance,Love,22,100
The Heartbreak Pavilion,Romance,Redemption,38,182
Love on the Boardwalk,Romance,Adventure,44,215
The Sweetheart Esplanade,Romance,Love,20,92
Amaryllis Romance,Romance,Love,32,155
The Promise Conservatory,Romance,Love,34,165
Love at the Boardwalk,Romance,Adventure,26,122
The Confession Boardwalk,Romance,Sacrifice,36,170
Carnation Romance,Romance,Love,18,82
The Romantic Boardwalk,Romance,Adventure,40,195
Love Beyond the Clouds,Romance,Escape,42,200
The Love Boardwalk,Romance,Adventure,24,112
Edelweiss Hearts,Romance,Love,30,142
